PARENT_ACCOUNT_NUMBER,ACCOUNT_NUMBER,INSTANCE_STATUS,SUPPORT_STATUS,ITEMNO,ITEM_DESCRIPTION,SUPPORT_ITEMNO,PRODLINE,PRODFAMILY,PLATFORM,CONTRACT_NUMBER,CONTRACT_ID,CONTRACT_ORG,CONTRACT_INV_ORGID,CONTRACT_INV_ORG,CUST_PO_NUMBER,PRICE_UNIT,CURRENCY_CODE,START_DATE,END_DATE,SVC_LINE_ID,INSTANCE_ID,QUOTE,SELLING_PRICE,CURRENT_EXPRN_DATE,NEW_EXPRN_DATE,STUDENT_COUNT,CONTRACT_MONTHS,NEW_YRLY_PRICE,NEW_MTHLY_PRICE,UPLIFT_PCT,RENEWAL_OPP_TYPE,SOLD_TO_ORG_ID,INVOICE_TO_ORG_ID,SHIP_TO_ORG_ID,ORDER_NUMBER,DESCRIPTION,OWNER_CUSTOMER,PARENT_CUSTOMER,SOLDTO_NUM,SOLDTO_CUSTOMER,BILLTO_NUM,BILLTO_CUSTOMER,SHIPTO_NUM,SHIPTO_CUSTOMER,RN,AUTORENEW,PER_STUDENT_PRICE,CON_LINE_LAST_UPDATED
3646207,3646207,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82675040,30729700,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","TIGARD-TUALATIN SCH DIST","TIGARD-TUALATIN SCH DIST",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3613400,3613400,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674837,25944680,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","GASTON SCH DIST","GASTON SCH DIST",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3614827,3614827,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674847,24400680,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","WARRENTON HAMMOND S D 30","WARRENTON HAMMOND S D 30",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3643933,3643933,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82675002,27602684,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","ST HELENS SCH DIST 502","ST HELENS SCH DIST 502",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3615352,3615352,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674855,7466835,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","HILLSBORO SCH DIST 1J","HILLSBORO SCH DIST 1J",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3600783,3600783,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82672478,7468394,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","GREATER ALBANY PUB SCH DIST 8J","GREATER ALBANY PUB SCH DIST 8J",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3605885,3605885,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674779,7445855,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","CAMAS VLY CHARTER SCHS","CAMAS VLY CHARTER SCHS",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3633111,3633111,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674891,7427630,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","PORTLAND CHRIST SCHS","PORTLAND CHRIST SCHS",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3601147,3601147,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82673736,6882338,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","NORTHWEST REG PROGRAM","NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3603710,3603710,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674722,42451306,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","BANKS SCH DIST 13","BANKS SCH DIST 13",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3645251,3645251,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82675025,9935922,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","NORTH WASCO CO SCH DIST #21","NORTH WASCO CO SCH DIST #21",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3602068,3602068,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674359,7838914,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","LIBRARIES OF WHEELER/GILLIAM","LIBRARIES OF WHEELER/GILLIAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3642758,3642758,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674997,7721265,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","SPRAY SCH DIST #1","SPRAY SCH DIST #1",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3641715,3641715,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674953,21313641,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","SCAPPOOSE SCH DIST 1 J","SCAPPOOSE SCH DIST 1 J",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3642388,3642388,Latest,ACTIVE,67003A,"ALLIANCE A/V ONLINE SERVICE - DESTINY DISTRICT",67003P,"ALLIANCE AV","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674973,21313645,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE A/V ONLINE SERVICE RENEWAL - DESTINY DISTRICT","SHERWOOD SCH DIST 88J","SHERWOOD SCH DIST 88J",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3600698,3600698,Latest,ACTIVE,67003A,"ALLIANCE A/V ONLINE SERVICE - DESTINY DISTRICT",67003P,"ALLIANCE AV","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82672374,7534992,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE A/V ONLINE SERVICE RENEWAL - DESTINY DISTRICT","GERVAIS SCH DIST 1","GERVAIS SCH DIST 1",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3646375,3646375,Latest,ACTIVE,67003A,"ALLIANCE A/V ONLINE SERVICE - DESTINY DISTRICT",67003P,"ALLIANCE AV","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82675065,43400070,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE A/V ONLINE SERVICE RENEWAL - DESTINY DISTRICT","TILLAMOOK SCH DIST 9","TILLAMOOK SCH DIST 9",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3609128,3609128,Latest,ACTIVE,67003A,"ALLIANCE A/V ONLINE SERVICE - DESTINY DISTRICT",67003P,"ALLIANCE AV","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674801,36433856,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE A/V ONLINE SERVICE RENEWAL - DESTINY DISTRICT","DALLAS SCH DIST 2","DALLAS SCH DIST 2",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3642370,3642370,Latest,ACTIVE,67003A,"ALLIANCE A/V ONLINE SERVICE - DESTINY DISTRICT",67003P,"ALLIANCE AV","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674968,36445856,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE A/V ONLINE SERVICE RENEWAL - DESTINY DISTRICT","SHERIDAN SCH DIST #48J","SHERIDAN SCH DIST #48J",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3639240,3601500,Latest,ACTIVE,67003A,"ALLIANCE A/V ONLINE SERVICE - DESTINY DISTRICT",67003P,"ALLIANCE AV","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82673871,36413902,7696745.01,0.00000,07-31-2024,07-31-2025,92,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE A/V ONLINE SERVICE RENEWAL - DESTINY DISTRICT","OREGON SCH FOR THE DEAF","OREGON DEPT OF ED",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,0.00000,08-11-2023
3634052,3634052,Latest,ACTIVE,67003A,"ALLIANCE A/V ONLINE SERVICE - DESTINY DISTRICT",67003P,"ALLIANCE AV","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674910,31594736,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE A/V ONLINE SERVICE RENEWAL - DESTINY DISTRICT","PORTLAND SCH DIST 1J","PORTLAND SCH DIST 1J",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3603959,3603959,Latest,ACTIVE,67003A,"ALLIANCE A/V ONLINE SERVICE - DESTINY DISTRICT",67003P,"ALLIANCE AV","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674741,31589726,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE A/V ONLINE SERVICE RENEWAL - DESTINY DISTRICT","BEAVERTON SCH DIST","BEAVERTON SCH DIST",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3642268,3642268,Latest,ACTIVE,67003A,"ALLIANCE A/V ONLINE SERVICE - DESTINY DISTRICT",67003P,"ALLIANCE AV","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674961,26202684,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE A/V ONLINE SERVICE RENEWAL - DESTINY DISTRICT","SEASIDE PUB SCHS","SEASIDE PUB SCHS",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3646207,3646207,Latest,ACTIVE,67003A,"ALLIANCE A/V ONLINE SERVICE - DESTINY DISTRICT",67003P,"ALLIANCE AV","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82675041,30729701,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE A/V ONLINE SERVICE RENEWAL - DESTINY DISTRICT","TIGARD-TUALATIN SCH DIST","TIGARD-TUALATIN SCH DIST",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3613400,3613400,Latest,ACTIVE,67003A,"ALLIANCE A/V ONLINE SERVICE - DESTINY DISTRICT",67003P,"ALLIANCE AV","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674840,25944681,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE A/V ONLINE SERVICE RENEWAL - DESTINY DISTRICT","GASTON SCH DIST","GASTON SCH DIST",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
