"PARENT_ACCOUNT_NUMBER","ACCOUNT_NUMBER","INSTANCE_STATUS","SUPPORT_STATUS","ITEMNO","ITEM_DESCRIPTION","SUPPORT_ITEMNO","PRODLINE","PRODFAMILY","PLATFORM","CONTRACT_NUMBER","CONTRACT_ID","CONTRACT_ORG","CONTRACT_INV_ORGID","CONTRACT_INV_ORG","CUST_PO_NUMBER","PRICE_UNIT","CURRENCY_CODE","START_DATE","END_DATE","SVC_LINE_ID","INSTANCE_ID","QUOTE","SELLING_PRICE","CURRENT_EXPRN_DATE","NEW_EXPRN_DATE","STUDENT_COUNT","CONTRACT_MONTHS","NEW_YRLY_PRICE","NEW_MTHLY_PRICE","UPLIFT_PCT","RENEWAL_OPP_TYPE","SOLD_TO_ORG_ID","INVOICE_TO_ORG_ID","SHIP_TO_ORG_ID","ORDER_NUMBER","DESCRIPTION","OWNER_CUSTOMER","PARENT_CUSTOMER","SOLDTO_NUM","SOLDTO_CUSTOMER","BILLTO_NUM","BILLTO_CUSTOMER","SHIPTO_NUM","SHIPTO_CUSTOMER","RN","AUTORENEW","PER_STUDENT_PRICE","CON_LINE_LAST_UPDATED","SOLDTO_INST_TYPE"
"4214870","4214870","Latest","ACTIVE","67009A","RPS ONLINE FOR LEXILES - DESTINY DISTRICT","67009P","READING PROGRAMS - LX","DESTINY DISTRICT","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","09-01-2020","10-31-2027",80289961,"40781337","7546035.01",0,"10-31-2027","10-31-2028","",86,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"RPS ONLINE FOR LEXILES RENEWAL - DESTINY DISTRICT","REGION 11 ED TEST DIST 2","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-10-2020","CONSORTIUM"
"4214870","4214870","Latest","ACTIVE","67010A","RPS ONLINE FOR FOUNTAS & PINNELL-DESTINY DISTRICT","67010P","READING PROGRAMS - F&P","DESTINY DISTRICT","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","09-01-2020","10-31-2027",80289955,"40781340","7546035.01",0,"10-31-2027","10-31-2028","",86,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"RPS ONLINE FOR FOUNTAS & PINNELL-DESTINY DISTRICT RENEWAL","REGION 11 ED TEST DIST 2","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-10-2020","CONSORTIUM"
"4214870","4214830","Latest","ACTIVE","67051A","RPS ONLINE SERVICE FOR AR / RC - DESTINY DISTRICT MEMBER","67051P","READING PROGRAMS - AR","DESTINY DISTRICT MEMBER","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289937,"40781325","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"RPS ONLINE FOR AR / RC RENEWAL - DESTINY DISTRICT MEMBER","TREC EBOOK CATALOG","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214831","Latest","ACTIVE","67051A","RPS ONLINE SERVICE FOR AR / RC - DESTINY DISTRICT MEMBER","67051P","READING PROGRAMS - AR","DESTINY DISTRICT MEMBER","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289943,"40781326","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"RPS ONLINE FOR AR / RC RENEWAL - DESTINY DISTRICT MEMBER","TREC SHARED SITE","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214830","Latest","ACTIVE","67054A","STANDARDS - DESTINY DISTRICT MEMBER","67054P","STATE STANDARDS","DESTINY DISTRICT MEMBER","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289941,"40781327","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"STANDARDS RENEWAL - DESTINY DISTRICT MEMBER","TREC EBOOK CATALOG","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214831","Latest","ACTIVE","67054A","STANDARDS - DESTINY DISTRICT MEMBER","67054P","STATE STANDARDS","DESTINY DISTRICT MEMBER","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289952,"40781328","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"STANDARDS RENEWAL - DESTINY DISTRICT MEMBER","TREC SHARED SITE","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214831","Latest","ACTIVE","67055A","WEBPATH EXPRESS SITE LICENSE","67055P","WEBPATH EXPRESS","DESTINY DISTRICT MEMBER","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289951,"40781329","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"WEBPATH EXPRESS SITE LICENSE (RENEWAL)","TREC SHARED SITE","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214830","Latest","ACTIVE","67055A","WEBPATH EXPRESS SITE LICENSE","67055P","WEBPATH EXPRESS","DESTINY DISTRICT MEMBER","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289940,"40781330","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"WEBPATH EXPRESS SITE LICENSE (RENEWAL)","TREC EBOOK CATALOG","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214831","Latest","ACTIVE","67056A","ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT MEMBER","67056P","ALLIANCE PLUS","DESTINY DISTRICT MEMBER","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289950,"40781331","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT MEMBER","TREC SHARED SITE","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214830","Latest","ACTIVE","67056A","ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT MEMBER","67056P","ALLIANCE PLUS","DESTINY DISTRICT MEMBER","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289939,"40781332","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT MEMBER","TREC EBOOK CATALOG","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214830","Latest","ACTIVE","67057A","ALLIANCE A/V ONLINE SERVICE - DESTINY DISTRICT MEMBER","67057P","ALLIANCE AV","DESTINY DISTRICT MEMBER","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289938,"40781333","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"ALLIANCE A/V ONLINE SERVICE RENEWAL - DESTINY DISTRICT MEMBER","TREC EBOOK CATALOG","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214831","Latest","ACTIVE","67057A","ALLIANCE A/V ONLINE SERVICE - DESTINY DISTRICT MEMBER","67057P","ALLIANCE AV","DESTINY DISTRICT MEMBER","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289949,"40781334","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"ALLIANCE A/V ONLINE SERVICE RENEWAL - DESTINY DISTRICT MEMBER","TREC SHARED SITE","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214830","Latest","ACTIVE","67058A","TITLEPEEK ONLINE SERVICE - DESTINY DISTRICT MEMBER","67058P","TITLEPEEK","DESTINY DISTRICT MEMBER","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289942,"40781335","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"TITLEPEEK ONLINE SERVICE RENEWAL - DESTINY DISTRICT MEMBER","TREC EBOOK CATALOG","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214831","Latest","ACTIVE","67058A","TITLEPEEK ONLINE SERVICE - DESTINY DISTRICT MEMBER","67058P","TITLEPEEK","DESTINY DISTRICT MEMBER","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289948,"40781336","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"TITLEPEEK ONLINE SERVICE RENEWAL - DESTINY DISTRICT MEMBER","TREC SHARED SITE","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214830","Latest","ACTIVE","67059A","RPS ONLINE FOR LEXILES - DESTINY DISTRICT MEMBER","67059P","READING PROGRAMS - LX","DESTINY DISTRICT MEMBER","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289936,"40781339","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"RPS ONLINE FOR LEXILES RENEWAL - DESTINY DISTRICT MEMBER","TREC EBOOK CATALOG","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214831","Latest","ACTIVE","67059A","RPS ONLINE FOR LEXILES - DESTINY DISTRICT MEMBER","67059P","READING PROGRAMS - LX","DESTINY DISTRICT MEMBER","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289947,"40781338","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"RPS ONLINE FOR LEXILES RENEWAL - DESTINY DISTRICT MEMBER","TREC SHARED SITE","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214830","Latest","ACTIVE","67060A","RPS ONLINE FOR FOUNTAS & PINNELL-DESTINY DISTRICT MEMBER","67060P","READING PROGRAMS - F&P","DESTINY DISTRICT MEMBER","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289933,"40781341","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"RPS ONLINE FOR FOUNTAS & PINNELL-DESTINY DISTRICT MEMBER RENEWAL","TREC EBOOK CATALOG","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214831","Latest","ACTIVE","67060A","RPS ONLINE FOR FOUNTAS & PINNELL-DESTINY DISTRICT MEMBER","67060P","READING PROGRAMS - F&P","DESTINY DISTRICT MEMBER","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289946,"40781342","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"RPS ONLINE FOR FOUNTAS & PINNELL-DESTINY DISTRICT MEMBER RENEWAL","TREC SHARED SITE","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214870","Latest","ACTIVE","46701A","DISTRICT LIBRARY MANAGER LICENSE","73141P","LIBRARY MANAGER","DESTINY DISTRICT","ONPREM","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","09-01-2020","10-31-2027",80289953,"40781316","7546035.01",0,"10-31-2027","10-31-2028","",86,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"DISTRICT LIBRARY MANAGER LICENSE RENEWAL","REGION 11 ED TEST DIST 2","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-10-2020","CONSORTIUM"
"4214870","4214831","Latest","ACTIVE","46702A","DISTRICT MEMBER LIBRARY MANAGER LICENSE","73145P","LIBRARY MANAGER","DESTINY DISTRICT MEMBER","ONPREM","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289944,"40781317","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"DESTINY DISTRICT MEMBER LIBRARY LICENSE RENEWAL","TREC SHARED SITE","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214830","Latest","ACTIVE","46702A","DISTRICT MEMBER LIBRARY MANAGER LICENSE","73145P","LIBRARY MANAGER","DESTINY DISTRICT MEMBER","ONPREM","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289935,"40781318","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"DESTINY DISTRICT MEMBER LIBRARY LICENSE RENEWAL","TREC EBOOK CATALOG","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
"4214870","4214870","Latest","ACTIVE","46941A","DISTRICT RESOURCE MANAGER LICENSE","73163P","RESOURCE MANAGER","DESTINY DISTRICT","ONPREM","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","09-01-2020","10-31-2027",80289960,"40781343","7546035.01",0,"10-31-2027","10-31-2028","",86,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"DISTRICT RESOURCE MANAGER LICENSE SUPPORT RENEWAL","REGION 11 ED TEST DIST 2","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-10-2020","CONSORTIUM"
"4214870","4214831","Latest","ACTIVE","46942A","DISTRICT MEMBER RESOURCE MANAGER LICENSE","73164P","RESOURCE MANAGER","DESTINY DISTRICT MEMBER","ONPREM","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","11-01-2021","10-31-2027",80289945,"40781344","7546035.01",0,"10-31-2027","10-31-2028","",72,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"DISTRICT MEMBER RESOURCE MANAGER LICENSE SUPPORT RENEWAL","TREC SHARED SITE","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-01-2021","CONSORTIUM"
