PARENT_ACCOUNT_NUMBER,ACCOUNT_NUMBER,INSTANCE_STATUS,SUPPORT_STATUS,ITEMNO,ITEM_DESCRIPTION,SUPPORT_ITEMNO,PRODLINE,PRODFAMILY,PLATFORM,CONTRACT_NUMBER,CONTRACT_ID,CONTRACT_ORGID,CONTRACT_ORG,CONTRACT_INV_ORGID,CONTRACT_INV_ORG,CUST_PO_NUMBER,PRICE_UNIT,CURRENCY_CODE,START_DATE,END_DATE,SVC_LINE_ID,INSTANCE_ID,QUOTE,SELLING_PRICE,CURRENT_EXPRN_DATE,NEW_EXPRN_DATE,STUDENT_COUNT,CONTRACT_MONTHS,NEW_PRICE_START_DATE,NEW_YRLY_PRICE,NEW_MTHLY_PRICE,UPLIFT_PCT,RENEWAL_OPP_TYPE,SOLD_TO_ORG_ID,INVOICE_TO_ORG_ID,SHIP_TO_ORG_ID,ORDER_NUMBER,ITEM_ID,DESCRIPTION,OWNER_CUSTOMER,PARENT_CUSTOMER,SOLDTO_NUM,SOLDTO_CUSTOMER,BILLTO_NUM,BILLTO_CUSTOMER,SHIPTO_NUM,SHIPTO_CUSTOMER,RN,AUTO_RENEWAL,PER_STUDENT_PRICE,CON_LINE_LAST_UPDATED
3951900,3900027,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715331,8384919,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,POCALLA SPGS ELEM SCH,SUMTER SCH DIST,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900028,3900028,Latest,ACTIVE,48300L,ENTERPRISE HOSTING FEE,48300P,ENTERPRISE,HOSTED,FSS HOSTED,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,50.8,USD,9/1/2023,8/31/2024,82716836,42605210,7702019,4.23326,8/31/2024,8/31/2025,,12,,50.8,4.23326,0,DOMESTIC,56637,161278,161280,2474995,187326,ENTERPRISE HOSTING FEE - RENEWAL,SC OFFICE INSTRUCT MATERIALS,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900028,3900028,Latest,ACTIVE,46801A,DISTRICT TEXTBOOK MANAGER LICENSE,73143P,TEXTBOOK MANAGER,DESTINY DISTRICT,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,0,USD,9/1/2023,8/31/2024,82715332,6896358,7702019,0,8/31/2024,8/31/2025,,12,,0,0,0,DOMESTIC,56637,161278,161280,2474995,6225,DISTRICT TEXTBOOK MANAGER LICENSE RENEWAL,SC OFFICE INSTRUCT MATERIALS,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900028,3900028,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82716260,7462235,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,SC OFFICE INSTRUCT MATERIALS,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900028,3900028,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715629,7504880,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,SC OFFICE INSTRUCT MATERIALS,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900022,3900029,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715333,7510830,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,ABBEVILLE HIGH SCH,ABBEVILLE CO SCHS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900022,3900030,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715334,7510825,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,JOHN C CALHOUN ELEM SCH,ABBEVILLE CO SCHS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900022,3900031,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715335,7510829,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,DIXIE HIGH SCH,ABBEVILLE CO SCHS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900022,3900032,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715336,7510823,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,CHEROKEE TRAIL ELEM SCH,ABBEVILLE CO SCHS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900022,3900034,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715337,7510826,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,WESTWOOD ELEM SCH,ABBEVILLE CO SCHS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900022,3900035,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715338,7510824,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,DIAMOND HILL SCH,ABBEVILLE CO SCHS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900130,3900037,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715339,7362323,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,AIKEN CO CAREER SCH,AIKEN CO SCH DIST,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900130,3900039,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715340,7362285,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,AIKEN HIGH SCH,AIKEN CO SCH DIST,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900130,3900040,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715341,7362297,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,J D LEVER ELEM SCH,AIKEN CO SCH DIST,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900130,3900041,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715342,7362293,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,EAST AIKEN SCH OF THE ARTS,AIKEN CO SCH DIST,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900130,3900042,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715343,7521794,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,CTR FOR INNOVATIVE LRNG,AIKEN CO SCH DIST,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900130,3900043,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715344,7362306,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,MINNIE B KENNEDY MDL SCH,AIKEN CO SCH DIST,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900130,3900044,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715345,7362305,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,MILLBROOK ELEM SCH,AIKEN CO SCH DIST,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900022,3900045,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715346,7510827,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,LONG CANE PRIM SCH,ABBEVILLE CO SCHS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900130,3900046,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715347,7362309,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,NORTH AIKEN ELEM SCH,AIKEN CO SCH DIST,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900130,3900047,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715348,7362308,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,NEW ELLENTON MDL SCH,AIKEN CO SCH DIST,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900130,3900048,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715349,7362313,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,OAKWOOD-WINDSOR ELEM SCH,AIKEN CO SCH DIST,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900130,3900051,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715350,7362296,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,HAMMOND HILL ELEM SCH,AIKEN CO SCH DIST,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900130,3900052,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715351,7362310,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,NORTH AUGUSTA ELEM SCH,AIKEN CO SCH DIST,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
